paramID,flag,periodLen,steps
737,periodic,168.0000,12432
738,periodic,168.0000,5040
739,periodic,168.0000,22848
740,periodic,168.0000,67536
741,periodic,168.0000,10080
742,periodic,168.0000,5040
743,periodic,168.0000,14784
744,periodic,168.0000,15792
745,periodic,168.0000,8736
746,periodic,168.0000,13776
747,periodic,168.0000,5712
748,periodic,168.0000,22512
749,periodic,168.0000,22848
750,periodic,168.0000,24528
751,periodic,168.0000,5712
752,periodic,168.0000,18480
753,periodic,168.0000,7728
754,periodic,168.0000,18816
755,periodic,168.0000,38640
756,periodic,168.0000,28224
757,periodic,168.0000,13104
758,periodic,168.0000,8400
759,periodic,168.0000,93744
760,periodic,168.0000,5040
761,periodic,168.0000,5040
762,periodic,168.0000,16464
763,periodic,168.0000,9744
764,periodic,168.0000,5040
765,periodic,168.0000,9072
766,periodic,168.0000,5040
767,periodic,168.0000,16464
768,periodic,168.0000,22848
769,periodic,168.0000,5040
770,periodic,168.0000,14112
771,periodic,168.0000,7056
772,periodic,168.0000,10416
773,periodic,168.0000,5376
774,periodic,168.0000,6048
775,periodic,168.0000,22848
776,periodic,168.0000,14448
777,periodic,168.0000,18480
778,periodic,168.0000,5040
779,periodic,168.0000,60816
780,periodic,168.0000,6720
781,periodic,168.0000,5040
782,periodic,168.0000,16800
783,periodic,168.0000,5040
784,periodic,168.0000,5040
785,periodic,168.0000,13104
786,periodic,168.0000,5040
787,periodic,168.0000,5040
788,periodic,168.0000,5712
789,periodic,168.0000,19488
790,periodic,168.0000,5040
791,periodic,168.0000,5040
792,periodic,168.0000,20160
793,periodic,168.0000,5712
794,periodic,168.0000,7728
795,periodic,168.0000,15456
796,periodic,168.0000,12096
797,periodic,168.0000,5040
798,periodic,168.0000,12096
799,periodic,168.0000,10416
800,periodic,168.0000,61824
801,periodic,168.0000,24864
802,periodic,168.0000,6048
803,periodic,168.0000,19488
804,periodic,168.0000,12432
805,periodic,168.0000,91056
806,periodic,168.0000,31248
807,periodic,168.0000,46704
808,periodic,168.0000,27552
809,periodic,168.0000,5040
810,periodic,168.0000,58464
811,periodic,168.0000,8064
812,periodic,168.0000,6384
813,periodic,168.0000,24192
814,periodic,168.0000,14448
815,periodic,168.0000,5712
816,periodic,168.0000,67872
817,periodic,168.0000,5040
818,periodic,168.0000,9072
819,periodic,168.0000,5040
820,periodic,168.0000,5040
821,periodic,168.0000,41664
822,periodic,168.0000,5040
823,periodic,168.0000,5040
824,periodic,168.0000,9408
825,periodic,168.0000,5040
826,periodic,168.0000,12432
827,periodic,168.0000,12432
828,periodic,168.0000,5712
829,periodic,168.0000,115920
830,periodic,168.0000,5040
831,periodic,168.0000,20496
832,periodic,168.0000,5040
833,periodic,168.0000,5376
834,periodic,168.0000,10752
835,periodic,168.0000,42336
836,periodic,168.0000,7056
837,periodic,168.0000,5040
838,periodic,168.0000,18480
839,periodic,168.0000,7728
840,periodic,168.0000,10416
841,periodic,168.0000,5040
842,periodic,168.0000,6048
843,periodic,168.0000,8064
844,periodic,168.0000,16464
845,periodic,168.0000,51744
846,periodic,168.0000,5712
847,periodic,168.0000,32592
848,periodic,168.0000,6048
849,periodic,168.0000,5040
850,periodic,168.0000,8400
851,periodic,168.0000,5040
852,periodic,168.0000,5040
853,periodic,168.0000,8736
