paramID,flag,steps
470,periodic-1T,47376
471,periodic-1T,11088
472,periodic-1T,10080
473,periodic-1T,44352
474,periodic-1T,18480
475,periodic-1T,16464
476,periodic-1T,10080
477,periodic-1T,61824
478,periodic-1T,10416
479,periodic-1T,10416
480,periodic-1T,34272
481,periodic-1T,10080
482,periodic-1T,10080
483,periodic-1T,34944
484,periodic-1T,10416
485,periodic-1T,10416
486,periodic-1T,20496
487,periodic-1T,10416
488,periodic-1T,94416
489,periodic-1T,37296
490,periodic-1T,10416
491,periodic-1T,20496
492,periodic-1T,10416
493,periodic-1T,21840
494,periodic-1T,23856
495,periodic-1T,10416
496,periodic-1T,41664
497,periodic-1T,10416
498,periodic-1T,67872
499,periodic-1T,10416
500,periodic-1T,10416
501,periodic-1T,10416
502,periodic-1T,78288
503,periodic-1T,10080
504,periodic-1T,10080
505,periodic-1T,10416
506,periodic-1T,20496
507,periodic-1T,11424
508,periodic-1T,17472
509,periodic-1T,10080
510,periodic-1T,10752
511,periodic-1T,13776
512,periodic-1T,10416
513,periodic-1T,10416
514,periodic-1T,10080
515,periodic-1T,10416
516,periodic-1T,13776
517,periodic-1T,115248
518,periodic-1T,47376
519,periodic-1T,15120
520,periodic-1T,33936
521,periodic-1T,17808
522,periodic-1T,10080
523,periodic-1T,10416
524,periodic-1T,10416
525,periodic-1T,10752
526,periodic-1T,61488
527,periodic-1T,17808
528,periodic-1T,10416
529,periodic-1T,10080
530,periodic-1T,10080
531,periodic-1T,54432
532,periodic-1T,11088
533,periodic-1T,11088
534,periodic-1T,10416
535,periodic-1T,47376
536,periodic-1T,11424
537,periodic-1T,10416
538,periodic-1T,10416
539,periodic-1T,10416
540,periodic-1T,11088
541,periodic-1T,10416
542,periodic-1T,10416
543,periodic-1T,37296
544,periodic-1T,10080
545,periodic-1T,33936
546,periodic-1T,33936
547,periodic-1T,10080
548,periodic-1T,10416
549,periodic-1T,10080
550,periodic-1T,10080
551,periodic-1T,10416
552,periodic-1T,14112
553,periodic-1T,32256
554,periodic-1T,10080
555,periodic-1T,10080
